time,nino3,nino4,nino34,oni
1959-03-01,0.6429814,0.27862677,0.69577134,0.6023034
1959-04-01,0.44146574,0.46774197,0.53031874,0.6098516
1959-05-01,0.44391483,0.42957252,0.6034647,0.47635093
1959-06-01,0.08437066,0.018626662,0.29526934,0.2308143
1959-07-01,-0.14161919,-0.31683174,-0.2062912,0.039806183
1959-08-01,-0.18314037,0.16082263,0.030440401,-0.19714278
1959-09-01,-0.3873411,-0.10667287,-0.41557753,-0.102300726
1959-10-01,0.07081178,0.07876747,0.07823497,-0.19906896
1959-11-01,-0.14781801,-0.31519547,-0.25986433,-0.045917794
1959-12-01,0.04134589,-0.33769047,0.04387598,0.022390023
1960-01-01,0.18327816,-0.17780377,0.28315842,0.09732276
1960-02-01,-0.1932218,-0.13036576,-0.03506614,0.19665565
1960-03-01,0.0725782,0.068286374,0.3418747,0.1217661
1960-04-01,-0.15095642,-0.12753953,0.058489732,0.15035944
1960-05-01,-0.31494653,-0.010312238,0.05071386,0.021510428
1960-06-01,-0.15801798,-0.16985308,-0.044672307,0.0070004053
1960-07-01,-0.059917603,-0.24528712,0.014959662,-0.023215247
1960-08-01,-0.032954637,-0.3663706,-0.039933097,-0.021805704
1960-09-01,0.07621111,-0.42084664,-0.040443674,-0.0016976843
1960-10-01,-0.25409213,0.14692837,0.07528372,-0.03846298
1960-11-01,-0.55306953,0.17211862,-0.15022899,-0.023232736
1960-12-01,-0.18206754,0.05218748,0.005247065,0.016259372
1961-01-01,0.19566481,0.07851008,0.19376004,0.13012405
1961-02-01,0.35092118,-0.13601054,0.19136503,0.092999674
1961-03-01,-0.07264432,-0.26449165,-0.106126055,-0.043707784
1961-04-01,-0.19154157,-0.17147514,-0.21636233,-0.06269089
1961-05-01,0.06662959,-0.11074358,0.13441569,-0.13811707
1961-06-01,-0.35768384,-0.22300757,-0.33240458,-0.13556768
1961-07-01,-0.47501838,-0.0013361567,-0.20871417,-0.24563898
1961-08-01,-0.31339166,-0.20260346,-0.1957982,-0.26227593
1961-09-01,-0.47036907,-0.34952587,-0.3823154,-0.3005333
1961-10-01,-0.4257759,-0.2677777,-0.32348624,-0.33900523
1961-11-01,-0.33899543,-0.42778686,-0.31121403,-0.27908194
1961-12-01,-0.29627112,-0.34563926,-0.20254552,-0.36444068
1962-01-01,-0.33371368,-0.61034095,-0.57956254,-0.3645145
1962-02-01,-0.28432742,-0.2195007,-0.31143543,-0.5612219
1962-03-01,-1.0164838,-0.39253512,-0.7926677,-0.6171327
1962-04-01,-0.9772162,-0.34444028,-0.7472952,-0.68757015
1962-05-01,-0.5611304,-0.53609085,-0.52274764,-0.6152543
1962-06-01,-0.6826986,-0.40963465,-0.57571995,-0.5505591
1962-07-01,-0.5273905,-0.31283244,-0.55320966,-0.49821678
1962-08-01,-0.44353193,-0.15327989,-0.36572078,-0.5858063
1962-09-01,-0.84054244,-0.38661897,-0.83848846,-0.5542564
1962-10-01,-0.4972499,-0.2715232,-0.45855996,-0.5516564
1962-11-01,-0.34814185,-0.36719292,-0.35792077,-0.46258464
1962-12-01,-0.5603724,-0.36944404,-0.5712732,-0.5563462
1963-01-01,-0.53940636,-0.37770513,-0.73984456,-0.7279022
1963-02-01,-0.72735465,-0.27031273,-0.87258875,-0.77093005
1963-03-01,-0.50931597,-0.39954144,-0.70035684,-0.64376885
1963-04-01,-0.3071786,0.15641138,-0.35836095,-0.42487207
1963-05-01,-0.0606089,-0.058202147,-0.21589847,-0.19183141
1963-06-01,0.07145379,-0.08471503,-0.0012348464,0.034109503
1963-07-01,0.39754447,0.4714055,0.31946182,0.25071707
1963-08-01,0.35610718,0.626171,0.4339243,0.3682499
1963-09-01,0.3579155,0.43036875,0.3513635,0.44981238
1963-10-01,0.5384593,0.33799124,0.5641493,0.5425768
1963-11-01,0.6279209,0.53144205,0.7122176,0.64928174
1963-12-01,0.51131463,0.5481899,0.6714782,0.69969845
1964-01-01,0.4854629,0.48799765,0.7153995,0.64399725
1964-02-01,0.22523066,0.39036465,0.5451141,0.3079959
1964-03-01,-0.51817536,-0.13158308,-0.33652586,-0.092185736
1964-04-01,-0.727092,-0.0022215848,-0.48514545,-0.4236262
1964-05-01,-0.88560265,0.057833232,-0.44920734,-0.6107647
1964-06-01,-1.1516048,-0.29973248,-0.8979413,-0.76716447
1964-07-01,-1.2219903,-0.25469455,-0.9543448,-0.92266685
1964-08-01,-1.4916883,-0.45328882,-0.9157145,-0.98417443
1964-09-01,-1.2123713,-0.83125126,-1.0824641,-0.942004
1964-10-01,-1.0377573,-0.68598884,-0.8278335,-0.8921342
1964-11-01,-0.7967304,-0.62395173,-0.76610506,-0.8303993
1964-12-01,-0.9266737,-0.70347685,-0.89725924,-0.7054495
1965-01-01,-0.5739045,-0.30073887,-0.45298415,-0.5052361
1965-02-01,-0.35825473,-0.091943875,-0.165465,-0.25236484
1965-03-01,-0.11202971,-0.2721817,-0.13864537,0.018184742
1965-04-01,0.5027111,0.04611328,0.35866457,0.2806406
1965-05-01,0.8375742,-0.06974356,0.6219026,0.49889338
1965-06-01,0.8637064,-0.076702215,0.516113,0.60197854
1965-07-01,0.9020392,0.09265766,0.66792005,0.69359785
1965-08-01,0.9599057,0.2610552,0.89676064,0.882184
1965-09-01,1.057547,0.6085441,1.0818713,1.179804
1965-10-01,1.4950154,0.82993513,1.5607799,1.3925508
1965-11-01,1.3734387,0.9879295,1.5350015,1.5249826
1965-12-01,1.244625,0.7414131,1.4791666,1.458125
1966-01-01,1.1019838,0.82441986,1.3602067,1.3355528
1966-02-01,0.67140865,0.80280805,1.167285,1.2040434
1966-03-01,0.36913854,0.74600875,1.0846385,0.9884909
1966-04-01,0.11523775,0.68272007,0.713549,0.7388437
1966-05-01,-0.19789629,0.65145487,0.4183435,0.5822318
1966-06-01,0.1831575,0.5587691,0.61480296,0.6839134
1966-07-01,0.5924313,0.8977105,1.0185937,0.6464731
1966-08-01,0.090004556,0.2754001,0.30602258,0.55719584
1966-09-01,0.09800174,0.19412182,0.34697133,0.29248694
1966-10-01,-0.00960736,0.2581441,0.22446695,0.25993875
1966-11-01,-0.08447555,0.28776297,0.20837793,0.2668523
1966-12-01,-0.048075262,0.28826487,0.367712,0.13985714
1967-01-01,-0.29318488,-0.22624694,-0.15651849,-0.003476724
1967-02-01,-0.30632907,-0.29604322,-0.22162367,-0.16615635
1967-03-01,-0.37619537,0.1778592,-0.12032688,-0.07552093
1967-04-01,-0.28802958,0.34199244,0.115387745,0.101724215
1967-05-01,-0.0026517238,0.58783185,0.3101118,0.24122737
1967-06-01,-0.08235433,0.37141493,0.29818258,0.3096751
1967-07-01,-0.2541857,0.51734716,0.32073092,0.1406635
1967-08-01,-0.65047234,0.123085134,-0.19692303,-0.028072879
1967-09-01,-0.6306572,0.10788534,-0.20802653,-0.3470235
1967-10-01,-0.8103596,-0.53107893,-0.6361209,-0.32171375
1967-11-01,-0.47000107,-0.07713385,-0.120993815,-0.34511134
1967-12-01,-0.6287246,0.000936431,-0.2782193,-0.32426533
1968-01-01,-0.8312854,-0.3010023,-0.5735829,-0.40604672
1968-02-01,-0.5610244,-0.132897,-0.36633787,-0.6667242
1968-03-01,-1.2419256,-0.60578185,-1.0602518,-0.6416282
1968-04-01,-0.71517384,-0.29504728,-0.4982949,-0.60229445
1968-05-01,-0.6471919,-0.06359166,-0.24833652,-0.26662436
1968-06-01,-0.25795788,-0.1602084,-0.05324172,-0.056467313
1968-07-01,0.0035803313,-0.015304765,0.13217631,0.14693566
1968-08-01,0.43889806,-0.010226614,0.36187238,0.30511656
1968-09-01,0.44929305,0.08098081,0.421301,0.5539672
1968-10-01,0.64678305,0.60270554,0.8787282,0.7781477
1968-11-01,0.7250862,0.6655021,1.0344138,1.0729226
1968-12-01,0.8767583,1.0313561,1.3056258,1.3055552
1969-01-01,0.96791553,1.3433375,1.5766258,1.3923465
1969-02-01,0.4811641,1.3227423,1.2947879,1.2067343
1969-03-01,0.49693856,0.55464965,0.74878913,0.85899204
1969-04-01,0.55442935,0.48572585,0.53339905,0.67351055
1969-05-01,0.7713485,0.5380882,0.7383435,0.6579065
1969-06-01,0.6950788,0.57301384,0.70197684,0.57474214
1969-07-01,0.2985571,0.26982877,0.28390625,0.36234358
1969-08-01,0.18645494,0.19613388,0.101147614,0.11506619
1969-09-01,0.0122697735,0.22242726,-0.039855313,0.07308546
1969-10-01,0.19767205,0.11249352,0.15796407,0.17746419
1969-11-01,0.42547554,0.36309397,0.4142838,0.228287
1969-12-01,0.23556073,0.15291102,0.11261313,0.22495301
1970-01-01,0.23314182,0.14212716,0.14796206,0.039786216
1970-02-01,-0.16537876,-0.037241586,-0.14121653,-0.097642206
1970-03-01,-0.46821868,-0.020951103,-0.29967216,-0.20158458
1970-04-01,-0.23917665,0.016052812,-0.16386503,-0.19883001
1970-05-01,-0.4024575,-0.048545536,-0.13295282,-0.24409701
1970-06-01,-0.920059,-0.10615685,-0.4354732,-0.53631026
1970-07-01,-1.3429112,-0.45195714,-1.0405048,-0.81067306
1970-08-01,-1.1878076,-0.44362673,-0.9560412,-1.0161048
1970-09-01,-1.0350566,-0.6692816,-1.0517683,-0.967205
1970-10-01,-0.8559808,-0.52855957,-0.8938053,-1.0747339
1970-11-01,-1.1546539,-0.8958842,-1.2786279,-1.2088898
1970-12-01,-1.328159,-1.0706756,-1.4542365,-1.3406531
1971-01-01,-1.2874382,-0.8716244,-1.2890949,-1.4048535
1971-02-01,-1.486054,-0.99372727,-1.4712293,-1.442586
1971-03-01,-1.4288958,-1.1377219,-1.5674336,-1.3704411
1971-04-01,-0.7988821,-0.9764498,-1.0726606,-1.222334
1971-05-01,-0.9248724,-1.0181391,-1.0269079,-1.0725986
1971-06-01,-0.92505276,-0.9646085,-1.1182272,-0.8919608
1971-07-01,-0.55940044,-0.42247885,-0.53074706,-0.7473223
1971-08-01,-0.7048284,-0.5715061,-0.5929927,-0.6897311
1971-09-01,-0.94135046,-1.0537896,-0.94545364,-0.83125067
1971-10-01,-0.8351479,-0.82876796,-0.9553055,-0.9599839
1971-11-01,-0.9079901,-0.6921456,-0.9791925,-0.9788045
1971-12-01,-1.042311,-0.5581762,-1.0019155,-0.8802895
1972-01-01,-0.69418263,-0.3102909,-0.6597605,-0.6216309
1972-02-01,-0.2551731,-0.22023144,-0.20321685,-0.37475622
1972-03-01,-0.18727987,-0.25195324,-0.26129135,-0.060557473
1972-04-01,0.3004114,0.2288683,0.28283578,0.19297211
1972-05-01,0.64279115,0.33627552,0.5573719,0.5394338
1972-06-01,0.9257225,0.19529845,0.77809376,0.90171844
1972-07-01,1.4667106,0.5034459,1.3696897,1.2901186
1972-08-01,1.9006399,0.62320447,1.7225722,1.5597023
1972-09-01,1.6491876,0.6987171,1.586845,1.6613506
1972-10-01,1.67012,1.0035042,1.6746343,1.650535
1972-11-01,1.7358826,0.9150047,1.6901252,1.6929463
1972-12-01,1.8827112,0.8739705,1.7140793,1.6790472
1973-01-01,1.721955,0.6597476,1.6329376,1.5058922
1973-02-01,0.91102827,0.62230915,1.1706595,1.1941719
1973-03-01,0.41870442,0.4615276,0.77891886,0.62556005
1973-04-01,-0.24866286,-0.07954455,-0.07289828,0.23847772
1973-05-01,-0.2428362,0.07255685,0.009412611,-0.23826392
1973-06-01,-0.6376316,-0.69456255,-0.6513061,-0.3650689
1973-07-01,-0.7804712,-0.24708535,-0.45331326,-0.6962352
1973-08-01,-1.1408647,-0.7791516,-0.9840861,-0.91555095
1973-09-01,-1.2342366,-1.1199062,-1.3092535,-1.173024
1973-10-01,-1.188352,-0.9438023,-1.2257324,-1.332223
1973-11-01,-1.2509464,-1.1213064,-1.4616834,-1.4664029
1973-12-01,-1.4105612,-1.4633137,-1.7117928,-1.6639714
1974-01-01,-1.5987704,-1.2906353,-1.8184379,-1.6636614
1974-02-01,-1.2450328,-0.9656811,-1.4607534,-1.5297669
1974-03-01,-1.0268725,-0.8625689,-1.310109,-1.2402946
1974-04-01,-0.59926647,-0.8905805,-0.95002115,-0.9911914
1974-05-01,-0.3589785,-0.78651,-0.71344405,-0.73110676
1974-06-01,-0.2584918,-0.6595485,-0.529855,-0.61965674
