time,p1,p2,p3
1981-03-14,-181.30322,-33.06836,7.4560547
1981-03-15,-131.54883,-44.60547,0.10644531
1981-03-16,70.34326,46.48877,2.538086
1981-03-17,74.75537,35.11133,9.219238
1981-03-18,12.882324,34.31201,4.8623047
1981-03-19,-86.4707,57.38916,2.6967773
1981-03-20,-34.993652,16.117676,-3.0195312
1981-03-21,-78.43115,-23.552246,-2.003418
1981-03-22,-129.60596,-104.20508,1.8271484
1981-03-23,-42.867676,-248.34863,2.3305664
1981-03-24,-72.42969,-180.29395,0.9428711
1981-03-25,-311.625,30.30127,2.3632812
1981-03-26,-228.65039,94.43359,5.289551
1981-03-27,47.99756,71.36377,0.4741211
1981-03-28,109.24658,12.306152,-1.0712891
1981-03-29,83.62109,83.74072,-7.9155273
1981-03-30,112.961426,97.58008,-7.301758
1981-03-31,52.512207,-15.941406,-2.0268555
1981-04-01,32.88672,-201.26953,3.008789
1981-04-02,-54.38623,-81.58301,-2.5795898
1981-04-03,92.85986,12.048828,-10.155273
1981-04-04,141.77051,-2.1381836,-6.381836
1981-04-05,148.87695,-59.691895,0.68603516
1981-04-06,170.74756,-104.88574,-7.444336
1981-04-07,151.59326,-107.89014,-17.740723
1981-04-08,152.7334,-147.26416,-18.338867
1981-04-09,63.597656,7.0371094,-14.550293
1981-04-10,-14.875488,-36.452637,-10.04248
1981-04-11,67.68115,-199.42871,-6.9052734
1981-04-12,87.11133,-121.3501,-8.900879
1981-04-13,3.868164,-69.34375,-7.070801
1981-04-14,36.708496,6.2788086,-1.2211914
1981-04-15,-21.339844,-14.923828,8.848633
1981-04-16,-166.89844,-80.69238,8.35498
1981-04-17,-64.33789,136.60107,1.2275391
1981-04-18,-67.56592,115.601074,3.4204102
1981-04-19,-164.375,69.59375,5.4975586
1981-04-20,-166.62451,85.84473,5.0390625
1981-04-21,-34.546875,117.29883,-0.31445312
1981-04-22,64.14502,22.10254,-5.875
1981-04-23,-20.54248,-99.049805,-9.82666
1981-04-24,-52.492188,8.473145,-17.524414
1981-04-25,-83.57129,-66.09473,-19.588379
1981-04-26,-17.106934,4.3115234,-3.9624023
1981-04-27,71.17383,-20.201172,9.265625
1981-04-28,101.41504,-90.15088,2.0595703
1981-04-29,136.40527,74.470215,2.0947266
1981-04-30,60.901855,13.152344,1.3183594
1981-05-01,-49.172363,-172.82812,-3.682129
1981-05-02,-41.210938,26.569824,-5.319824
1981-05-03,54.177734,77.83008,-8.199219
1981-05-04,85.34424,-75.0376,-5.6601562
1981-05-05,90.32568,-31.780762,2.6621094
1981-05-06,66.44824,52.800293,2.8632812
1981-05-07,-28.987305,105.518555,-1.1489258
1981-05-08,-137.39551,73.62207,0.7578125
1981-05-09,-180.85596,1.1494141,-1.4370117
1981-05-10,-94.683105,31.15918,-3.8676758
1981-05-11,-35.90625,7.408203,-7.8447266
1981-05-12,-85.13379,28.969238,-7.994629
1981-05-13,-158.8711,105.225586,-13.924316
1981-05-14,-148.61572,160.48877,-13.13916
1981-05-15,17.225586,159.82715,-5.772461
1981-05-16,85.68945,155.19531,-3.8256836
1981-05-17,31.513184,93.12598,6.5942383
1981-05-18,-79.211426,35.706543,6.5117188
1981-05-19,-2.5356445,87.336914,1.9741211
1981-05-20,-10.673828,67.49512,-0.84765625
1981-05-21,-100.47412,3.4697266,4.217285
1981-05-22,-61.260742,168.70312,5.644043
1981-05-23,-79.45264,140.47998,7.0317383
1981-05-24,-102.59424,46.53369,11.225586
1981-05-25,-246.28711,-99.95166,12.079102
1981-05-26,-42.708496,-82.74365,7.104004
1981-05-27,44.74414,75.02197,3.6777344
1981-05-28,23.966797,143.28027,2.6308594
1981-05-29,-21.646973,108.49463,5.51416
1981-05-30,19.200195,54.11035,3.3364258
1981-05-31,58.30713,106.26953,2.067871
1981-06-01,-28.411133,130.75342,2.0615234
1981-06-02,-91.05957,69.06494,5.9335938
1981-06-03,-39.29492,-46.37549,2.109375
1981-06-04,4.220703,-33.484375,-0.96240234
1981-06-05,-53.152344,-30.75586,-6.7631836
1981-06-06,-28.328613,-44.09326,-5.9814453
1981-06-07,-39.191406,180.39453,-1.3642578
1981-06-08,-45.28418,202.00732,6.504883
1981-06-09,-17.893555,9.216309,4.061035
1981-06-10,-6.291504,110.02246,-2.180664
1981-06-11,-51.00879,56.69629,-4.185547
1981-06-12,-80.89795,54.85205,0.9946289
1981-06-13,-62.993652,120.373535,5.758789
1981-06-14,-50.083984,24.92041,1.7202148
1981-06-15,-125.03906,-41.291504,-3.3320312
1981-06-16,-137.61133,93.86182,-5.1796875
1981-06-17,-127.56543,-4.727051,-5.286621
1981-06-18,-84.44238,-93.10303,-5.224121
1981-06-19,-93.21631,-82.29346,-5.5654297
1981-06-20,-34.328613,-209.68799,1.875
1981-06-21,46.533203,-100.98877,6.911621
1981-06-22,102.10791,84.69141,-0.58251953
1981-06-23,98.773926,56.71875,-6.95459
1981-06-24,13.5546875,-32.958008,-10.100098
1981-06-25,-120.55371,-92.387695,-2.7729492
1981-06-26,-137.14746,-148.50293,-6.5898438
1981-06-27,-88.76416,-124.98193,-9.174316
1981-06-28,-59.60205,34.75586,-17.979492
1981-06-29,-101.55664,11.500977,-12.790527
1981-06-30,-107.33545,43.648926,-7.7666016
1981-07-01,-4.2348633,90.115234,-8.850098
1981-07-02,59.936035,162.60303,-13.754883
1981-07-03,91.825195,182.7334,-11.57373
1981-07-04,87.01807,115.47363,-3.1391602
1981-07-05,74.18799,-32.827637,6.137207
1981-07-06,52.92285,-264.06104,8.026367
1981-07-07,7.8012695,-162.3877,-0.46826172
1981-07-08,-56.560547,29.261719,2.522461
1981-07-09,-27.22705,1.6494141,4.976074
1981-07-10,26.05127,-131.11621,-2.8999023
1981-07-11,1.7871094,-234.51807,-8.886719
1981-07-12,-14.60498,-284.49463,-11.353516
1981-07-13,-46.82129,-78.796875,-12.009277
1981-07-14,-33.132812,27.84961,-9.797852
1981-07-15,39.921387,86.66797,-2.090332
1981-07-16,84.43555,-85.09961,-6.286621
1981-07-17,99.94336,-47.696777,-5.6831055
1981-07-18,86.57764,-108.007324,-6.882324
1981-07-19,50.686523,-270.3252,-5.756836
1981-07-20,25.49121,-140.49023,-3.4296875
1981-07-21,26.486816,-111.11426,2.15625
1981-07-22,38.65039,-132.63818,1.1015625
1981-07-23,32.728516,-146.13037,0.7011719
1981-07-24,-3.4238281,132.15479,1.0986328
1981-07-25,-43.288574,131.60693,2.9926758
1981-07-26,-67.95654,-12.62793,-3.9174805
1981-07-27,-55.06836,-67.84033,-2.9047852
1981-07-28,-59.578613,-134.8794,-1.2021484
1981-07-29,-82.82715,26.606445,-13.492676
