,Tokyo,Paris,Boulder,Bogota,Sydney
1999-10-01,291.4382640140158,284.95281269904206,275.7189265093075,286.67169776329627,291.2619224374757
1999-11-01,285.6991472502571,278.9643240088631,271.17501376432045,287.04041196878916,290.94486384531274
1999-12-01,279.7997199623711,278.713170854397,261.81644161137575,287.03328705660573,293.27649135734254
2000-01-01,279.07832260379814,277.06731614002297,263.79360474227957,286.3902637320505,293.7146734566239
2000-02-01,277.20803315564586,279.801501190417,267.5074652178962,286.3297019784913,295.99642658336967
2000-03-01,281.19976520641654,280.5763353903658,269.395566946507,286.8088523228274,295.24831080410877
2000-04-01,286.7215721485803,283.30517675662225,273.49595390807514,286.6271670621498,293.3922711803234
2000-05-01,292.0830685666168,288.5170500188065,278.4050184024633,286.76610284972685,290.713304199351
2000-06-01,294.88494028275346,291.1514862986324,283.2535211432923,286.43657566124284,288.89823282062036
2000-07-01,299.8510040746092,290.30184052075754,287.4928438924374,285.88083251093474,288.48498791398106
2000-08-01,300.44237178583444,292.7884348727771,286.6859475876632,286.3688889955002,288.46005072133903
2000-09-01,297.4249714761488,289.87968947388885,281.53997976317567,286.826664603286,290.34815244994985
2000-10-01,290.7079605152134,285.0792798902981,276.07873457457106,286.9014761812121,290.6652110421128
2000-11-01,285.00090585628027,281.4331060804241,262.4345277432889,287.22744091360437,292.7225294350803
2000-12-01,279.7961575062794,280.83105100092365,261.9072842417146,286.4739814502059,295.0060637898719
2001-01-01,275.5693033534553,278.3658313854544,261.1413561819951,286.2548904005652,295.94833342613146
2001-02-01,277.9472427946775,278.6009534875078,265.6353945416981,286.459731625839,296.1852367562308
2001-03-01,281.50435520225847,282.07791063302517,269.39200449041533,287.029724600514,295.04703203492664
2001-04-01,287.77071546759146,282.10641028175894,273.51198496048784,286.95669425063375,293.8357969637423
2001-05-01,291.94947646317735,288.561580719953,277.70499578044064,287.1597542478617,290.43187016810526
2001-06-01,295.4709643098412,290.2751221000696,283.966012361636,285.9022072474851,290.8059280577357
2001-07-01,301.06223914579346,292.4500015440638,287.5195623131253,285.991268649778,289.0763556252063
2001-08-01,298.7947358434146,292.92024574817066,285.66174146129407,285.9449567205857,288.8537021194739
2001-09-01,295.4834329061622,286.70732232421346,281.4135125719197,286.69485372789245,290.941301389221
2001-10-01,290.7079605152134,287.8971826588475,274.9494359934963,287.50709371680426,291.0285815634681
2001-11-01,284.44516270597217,278.8218257651944,269.9869346577323,287.56053055818006,291.74463523790354
2001-12-01,278.94294927231283,275.6084903704642,261.0362637272894,287.5801240666845,294.18848011682246
2002-01-01,278.7024834861218,278.4620176999308,261.84672248815536,286.62004214996637,295.1378746652655
2002-02-01,279.43634944101586,281.01095503355543,262.1459687998597,287.19716003682476,294.84931572183626
2002-03-01,284.0372614834704,281.75907081281633,266.29979260280356,287.0706928455688,294.61063116369115
2002-04-01,288.093117743892,283.73801517176605,273.8735742537973,287.295127579347,293.4848950387081
2002-05-01,290.7898970053229,286.53276197571927,277.40218701264456,287.28978389520944,290.79880314555226
2002-06-01,294.1510743278594,291.017894195193,285.32152690453495,286.42054460883014,289.2918842187553
2002-07-01,300.24465547274406,291.66982365997745,288.52951861512753,286.35463917113333,288.9819505387758
2002-08-01,300.50293353939367,291.8069782195086,286.0072997021908,286.4294507490594,289.3809456210483
2002-09-01,295.3605281709979,288.06818055124995,281.73235239212846,287.0083498639637,290.1842794697308
2002-10-01,290.65808612992936,285.20218462546234,273.7542319747247,286.95313179454206,291.4151080494196
2002-11-01,282.65680974792946,282.1776594035933,265.8758603278891,287.1704416161369,292.56400013899884
2002-12-01,278.34801910499584,280.4302746906053,262.040876345154,287.1615354759076,293.928420822127
2003-01-01,276.7716322844103,275.5568347571343,265.42877208837837,287.48393775220813,295.04346957883496
